Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
37snJ4U1q3zaFC8xfZb8YLVFrrMzD5G72xgkhN2wsq6WeBucbqLSjpVdrMLcwy1ukBfNPAcCpERHST9tQCDfhn2N,1773029117,2026-03-09T04:05:17.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,4s8gYJxJiWLagVbwNGPpA2SDD1sszGSCGJz8bDT4pump,19903076513657,6,So11111111111111111111111111111111111111112,1198124193,9,99.73,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
4nf4G83nBvgTW6CioGkVTGD1VmCddiuhXusN8Yyu1VYwFGhLeMtS8Yt3Jo4NHuF5if31ifUstzLK5rwiSbz8GWjB,1773028969,2026-03-09T04:02:49.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1000000000,9,Gw3TG8oD26vKGwx78AzL9zirPmbXbefAALMnrqPxpump,41100510332235,6,83.24,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8||,1.0,1.0
5ed3aEtWruqznFp7v6gB7AsRATjqNKzA459LBBTiw5Gq5iLHueSyTa5mxVHi1VGWM5Rzx1CCsk8i32Tmiuapjd2a,1773028931,2026-03-09T04:02:11.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1000000000,9,GApq6xgTFBdEQNP4irn4sLi9cQo3bnxhWbUywpgyBAGS,19198276720215944,9,83.24,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG||,1.0,1.0
4HYsdCHWjNiLQHSDGzYuXAXBrz4uaESSrTBehM7GntsPvQqyyJarptaAX3SZiHAGxf5ouEgER4U6xyjc12QboFzv,1773028883,2026-03-09T04:01:23.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,2000000000,9,9bqmg2GdJnTP19aPKQP8v1MSCBuc1WHCDRvostQNpump,22503927116433,6,166.12,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8||,1.0,1.0
4aBSXsgPnr83P55u36WuSPeQ7ByadoY7UKXJsezLY9FtL8ZngTunSjdcvrP1jm3CKfobkj8jiXmDTFNw3Cg8XdCx,1773028520,2026-03-09T03:55:20.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,997037037,9,4s8gYJxJiWLagVbwNGPpA2SDD1sszGSCGJz8bDT4pump,19903076513657,6,82.84,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
5bgTGBczxXsSDp5ZGwhhDL97wvQ6uxgBuiKn4ZNEZwejsGG7TN1YhMtUFdfeR3kd3ZBw3GpG7YiC7zj7NYMMAWoT,1773028265,2026-03-09T03:51:05.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,FVDZHKMbRZVJ3rxaWGSH494WaM7AGbtNAZmj8Zkq2v5x,22723041875459,6,So11111111111111111111111111111111111111112,1060274896,9,88.11,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
5rBywqhDxAi5MAHEPqLQDy7F8JmzYRWVJhXZbsZKQxYdzijhVuNbvzZvRmFvd8fb9WMK2nVf92nJq5QyeQpJbyhX,1773027286,2026-03-09T03:34:46.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,1000000000,9,FVDZHKMbRZVJ3rxaWGSH494WaM7AGbtNAZmj8Zkq2v5x,22723041875459,6,83.61,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
42HtytRMxV8ey3h9YhqFFVrgCoXZna9AegcqdEA49LfDHyY4PhXRqRgfZ5yZ43nreWFoSmV4sDTVowwoVSmM8Ecg,1773026782,2026-03-09T03:26:22.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,G4VQJECCcxfcYtxNehYe5D4Uqk82J99dsev3gJnpump,5245444275616,6,So11111111111111111111111111111111111111112,955029051,9,79.7,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
23RtHf48HsJ7wCYiLhFx6wyJ7Ndp8jEHxQkucUn6woE22bSSyqp7WRa34butzMSZroFwvVPCcDnzzVB7xSaoA3A7,1773025622,2026-03-09T03:07:02.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump,24657548893022,6,So11111111111111111111111111111111111111112,3908753440,9,325.22,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
3jAhoW4XExxdbW1rNneWvdwRCs2BMpiW3VMUBiX6vX9ACHMUq5PNoRLFmytRBs5dNDLCzEnhFR9sC6Lu5ZEKBSSB,1773025432,2026-03-09T03:03:52.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1998200000,9,DL6BBBQ6heTg9Zr5gFZxsCK2AZt2aVyRqUZgChqopump,11946620989919,6,165.15,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
