Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
2TVVqiJhMKBsB8NZkvoSfGCTyaJqUWGKCi1JzzZcwF1JKLCCXbHEgmQBurzFDBZsejvog3uvY2JxSsiUC1Q16SDd,1773145855,2026-03-10T12:30:55.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,APys2RKfb5zXXiCQ23iHKDPtzQXcxJg4vLXzMigvvcyR,11217333756844,6,So11111111111111111111111111111111111111112,1357040975,9,117.34,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2p2JitcLAhwb6Hva6TaUbUgDz9wYBmJfvN4cCefAjaTQpZVUC9i2h1JecTursRM6Pho9XxTJmqahphHXE26s573X,1773145774,2026-03-10T12:29:34.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,1500000000,9,APys2RKfb5zXXiCQ23iHKDPtzQXcxJg4vLXzMigvvcyR,11217333756844,6,129.79,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2WSE1ZvD2cF6RiJvrwMBrJ3ykkZ6oVdLGyDaNUWmMYqxsSV3WGzn7tj7eSHtwdkq6kxgnqQXLTYProrhiiMSkoA3,1773145455,2026-03-10T12:24:15.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,9se2P5n5vP2JWRk1jcuQqsL9Jmnpt2FwwbqVnCjxpump,7849817945907,6,So11111111111111111111111111111111111111111,398827018,9,34.52,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
5pfj8G5kPqy4DyarZFuyv2KhBpaRBqZ3DMJ7XW8cpH4JXTmKQZBpnBaYNfxfjHr3qNU31qPWSLCjbfFjbRwKecZu,1773145123,2026-03-10T12:18:43.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,1000000000,9,9se2P5n5vP2JWRk1jcuQqsL9Jmnpt2FwwbqVnCjxpump,7849817945907,6,86.5,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
2zpwFwqeU3ZjyS5CSdCZehVQaq7dwfmk3dzemxmK5B64xNSxNtWFNXvavyHf6cJSR1EoxEb1bpb5k6AQntBep19E,1773144456,2026-03-10T12:07:36.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,50000000,9,5SYoezkTPQp1nr8YCyUu4xKNxCZBfutsa1jorHCYpump,1715765109058,6,4.3273,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
2DCHNpTLNQzUXBG5eEUTSNJpTdmcTKmEmpKACybKQsEs41vHnGyaMtVzYMSTVdmA1ECmi9KDFG2xyGbVFM5jrpH1,1773144317,2026-03-10T12:05:17.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,HSwnEcsb9dVNKLSWUj8ns3jHaaoq8xsmLMoJ2jFopump,18655302938177,6,So11111111111111111111111111111111111111111,896943014,9,77.87,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
2tsZPbko6tjZkGrD9boWny5YvDrgfo9EimJg6dvc1B1HMnhXSLxFDWkSQDhsosQfHVBrPpNgtfhxzapuTkXo9pX3,1773144265,2026-03-10T12:04:25.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,5JMhRiGiFmqS5MXG9Nj6GFrBa86U5ViK2is5xLo1rszc,34199203119515,6,So11111111111111111111111111111111111111111,1030424188,9,89.46,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
3fdjXkntFVdKFtDWXPw5ZaHKmMR7ZcBHzFatrF6XUDxm4GVNtXEAtVm61pBKJQEzGty3Be5mbETmQAfiHfo4i8my,1773143353,2026-03-10T11:49:13.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,9XZUniEonG1hYVZbLXx4KgXNtnJmaX58dBYCwKvg3Z9n,11286917453603,6,So11111111111111111111111111111111111111111,579558192,9,50.27,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
CUqdYmer4s4245wBKpVyNJ3TGYDcckMtm2uPD96rC9dq6VxgFRYBuhmwbjZqE21JYobQe9z5LfqeFXnZtMrRzzG,1773143313,2026-03-10T11:48:33.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,7guFNUSX7X6NvKomvKMBtu3BMjmjw1UfnfpNKcxnpump,34199203117307,6,So11111111111111111111111111111111111111111,1033571410,9,89.66,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
5Cdmkkr1ZaNZFqNNe1ep5MWDS58X8btJ4S5BFpDSsGmfFDk1ZaSM5nTSMyi8ssdyiSZUnYRFydHb1yizfDqfkuH7,1773143295,2026-03-10T11:48:15.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,5SYoezkTPQp1nr8YCyUu4xKNxCZBfutsa1jorHCYpump,33151417226305,6,So11111111111111111111111111111111111111112,1104065870,9,95.77,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
